,Name,Nganh,Khu vuc,Dia Chi,Phone
0,Phụ Tùng Ô Tô Mạnh Tùng - Công Ty Cổ Phần Thương Mại Và Dịch Vụ Mạnh Tùng,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 2, Ngách 331/4, Đường Trần Khát Chân, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội","(024) 66565395, 0912 563 567, 0902 229 895    "
1,Phụ Tùng Ô Tô Bố Thắng Ngũ Thành - Cửa Hàng Bố Thắng Ngũ Thành,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"158/C24 25 Phan Anh, P. Tân Thới Hoà, Q. Tân Phú, Tp. Hồ Chí Minh (TPHCM)",0903746952                              
2,Phụ Tùng Ô Tô Vũ Phương - Công Ty TNHH Thương Mại Vũ Phương,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Hồ Chí Minh (TPHCM),"Số 12 Đường Số 7 (Số cũ 818/47 Nguyễn Kiệm), P. 3, Q. Gò Vấp, Tp. Hồ Chí Minh (TPHCM)","(028) 39859889, 0938082338                    "
3,Trung Tâm Phụ Tùng Điều Hòa Ô Tô Hà Nội,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 4 ngách 1, Ngõ 84 Thị Sáu, Q. Hai Bà Trưng, Hà Nội","0965 405 040, 0967 149 409              "
4,Tổng Đại Lý Phụ Tùng Ô Tô Tải Trung Quốc Lan Thưởng,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 121-123 Phố Lạc Nghiệp, P. Thanh Nhàn, Q. Hai Bà Trưng, Hà Nội",0372 172 302 - 0968 622 768             
5,Công Ty Cổ Phần GDC Việt Nam,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"CX4, Cụm CN Nguyên Khê, X. Nguyên Khê, Đông Anh, Hà Nội","094.886.1981, 0972 585 888              "
6,Ô Tô Phú Khang - Công Ty TNHH Thương Mại Và Dịch Vụ Phú Khang,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",An Giang,"Số 2699 Trần Hưng Đạo, P. Mỹ Thạnh, Tp. Long Xuyên, An Giang","(0296) 3933337, 0913 777 717                   "
7,Trung Tâm Điện Lạnh Ô Tô Gia Huy,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Trần Khát Trân, Q. Hai Bà Trưng, Hà Nội",0904 858 544                            
8,EMTC - Công Ty CP Dụng Cụ Cơ Khí Xuất Khẩu,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Lô 15A, Khu Công Nghiệp Quang Minh, Thị Trấn Quang Minh, Huyện Mê Linh, Hà Nội",(024) 3586 0394                               
9,Phụ Tùng Ô Tô Phạm Gia - Công Ty TNHH Đầu Tư Và Phát Triển Thương Mại Phạm Gia,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 76-78, Phố Lạc Nghiệp, Đường Trần Khát Chân, Phường Thanh Nhàn, Q. Hai Bà Trưng, Hà Nội","0865 856 585, 0985 281 269              "
10,Nhíp Ô Tô Miền Bắc,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 11B Thôn Chúc Lý, X. Ngọc Hòa, H. Chương Mỹ, Hà Nội",0976820219                              
11,Phụ Tùng Ô Tô Khởi Phát Việt - Công Ty TNHH Thương Mại Và Đầu Tư Khởi Phát Việt,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Tp. Đà Nẵng,"Số 35 An Xuân, P. An Khê, Q. Thanh Khê, Tp. Đà Nẵng",0972 000 234                            
12,Nhíp Ô Tô Miền Bắc,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi",Hà Nội,"Số 11B Thôn Chúc Lý, X. Ngọc Hòa, H. Chương Mỹ, Hà Nội",0976820219                              
