Name,Address,Phone,Province,Service
ISUZU Việt Nam - Viet Nam Auto,"916 Quang Trung, Phường 8, Quận Gò Vấp, Tp. Hồ Chí Minh (TPHCM)",Hotline: 0909 134 692                   ,Tp Hcm,Xe Tải - Kinh Doanh và Phân Phối
ISUZU Đạt Tấn Phát - Công Ty TNHH Ô Tô ISUZU Đạt Tấn Phát,"Số 795, KP. 4, Xa lộ Hà Nội, P. Long Bình, TP. Biên Hòa, Đồng Nai",Hotline: 0909 134 692                   ,Đồng Nai,Xe Tải - Kinh Doanh và Phân Phối
Công ty Cổ Phần Xuất Nhập Khẩu An Phú Thành,"56 Tố Hữu, P. Trung Văn, Q. Nam Từ Liêm, Hà Nội","(024) 32595868, Hotline: 0983 565 666         ",Hà Nội,Xe Tải - Kinh Doanh và Phân Phối
Ô Tô Phú Khang - Công Ty TNHH Thương Mại Và Dịch Vụ Phú Khang,"Số 2699 Trần Hưng Đạo, P. Mỹ Thạnh, Tp. Long Xuyên, An Giang","(0296) 3933337, 0913 777 717                   ",An Giang,Xe Tải - Kinh Doanh và Phân Phối
Công ty Cổ Phần Ô tô JAC Việt Nam - Chi nhánh Hà Nội,"761 Nguyễn Văn Linh (Quốc lộ 5 HN - HP - bên cạnh May 10), Q. Long Biên, Hà Nội","(024) 32127366, 0967492036                    ",Hà Nội,Xe Tải - Kinh Doanh và Phân Phối
Công Ty Cổ Phần 19-5 Thanh Hóa,"280 Bà Triệu, P. Đông Thọ, TP. Thanh Hóa, Thanh Hóa",0582992888                              ,Thanh Hóa,Xe Tải - Kinh Doanh và Phân Phối
Ô Tô Nisu - Công Ty TNHH Kinh Doanh ÔTô Nisu,"449 Nguyễn Văn Linh, P. Phúc Đồng, Q. Long Biên, Hà Nội",(024) 38757888                                ,Hà Nội,Xe Tải - Kinh Doanh và Phân Phối
Công Ty TNHH Ô Tô Và Thiết Bị Chuyên Dùng Sao Bắc,"Số 325, QL 13, P. Hiệp Bình Phước, Q. Thủ Đức, Tp. Hồ Chí Minh (TPHCM)",(028) 37261417                                ,Tp Hcm,Xe Tải - Kinh Doanh và Phân Phối
Công Ty TNHH Cơ Khí Ô Tô Phú Cường,"D7/20 Quốc Lộ 1A, Thị Trấn Tân Túc, Q. Bình Chánh, Tp. Hồ Chí Minh (TPHCM)","(028) 62515383, 0906918009                    ",Tp Hcm,Xe Tải - Kinh Doanh và Phân Phối
Công Ty TNHH Thương Mại Ô Tô Hoàng Long,"967 Quốc Lộ 1A, P. Thới An, Q. 12, Tp. Hồ Chí Minh (TPHCM)","0909415145, 0902502228                  ",Tp Hcm,Xe Tải - Kinh Doanh và Phân Phối
Công Ty Cổ Phần Thương Mại Dịch Vụ An Sương,"2450 QL1A, P. Trung Mỹ Tây, Q. 12, Tp. Hồ Chí Minh (TPHCM)",0908541699                              ,Tp Hcm,Xe Tải - Kinh Doanh và Phân Phối
Công Ty TNHH Sản Xuất Và Thương Mại Khang Thịnh,"VPGD: Tòa nhà An Huy, Lô 1+2 GD1, KCN Ngọc Hồi, K14 Đường Ngọc Hồi, H. Thanh Trì, Hà Nội","(024) 38235235, 36811428                      ",Hà Nội,Xe Tải - Kinh Doanh và Phân Phối
Hyundai Đông Nam - Công Ty Cổ Phần Ô Tô Hyundai Đông Nam,"Km 14 Quốc Lộ 1A, Ngọc Hồi, H. Thanh Trì, Hà Nội",0988446169                              ,Hà Nội,Xe Tải - Kinh Doanh và Phân Phối
Công Ty Cổ Phần Ô Tô Kinh Bắc,"Km 8, Đường Võ Văn Kiệt, TT. Quang Minh, H. Mê Linh, Hà Nội",(024) 22178922                                ,Hà Nội,Xe Tải - Kinh Doanh và Phân Phối
Ô Tô Trường Long - Công Ty Cổ Phần Kỹ Thuật Và Ô Tô Trường Long,"KCN Tân Tạo, Lô 46, Đường Số 3, P. Tân Tạo A, Q. Bình Tân, Tp. Hồ Chí Minh (TPHCM)",(028) 37543188                                ,Tp Hcm,Xe Tải - Kinh Doanh và Phân Phối
Công Ty Cổ Phần Thương Mại Dịch Vụ Phú Mẫn,"Số 79/43 Đường Số 51, P. 14, Q. Gò Vấp, Tp. Hồ Chí Minh (TPHCM)",0896619768                              ,Tp Hcm,Xe Tải - Kinh Doanh và Phân Phối
Ô Tô Nguyên Gia Phát - Công Ty Cổ Phần Nguyên Gia Phát,"Sô 39 Đại Lộ Bình Dương, P. Vĩnh Phú, TP. Thuận An, Bình Dương",(028) 62950081                                ,Bình Dương,Xe Tải - Kinh Doanh và Phân Phối
Công Ty TNHH Thương Mại Dịch Vụ Ô Tô Đông Anh,"2975 QL 1A, P. Tân Thới Hiệp, Q. 12, Tp. Hồ Chí Minh (TPHCM)",0932100277                              ,Tp Hcm,Xe Tải - Kinh Doanh và Phân Phối
Isuzu Green Ka - Công Ty Cổ Phần Thương Mại Green Ka,"1691/3N QL. 1A, KP. 3, P. An Phú Đông, Q. 12, Tp. Hồ Chí Minh (TPHCM)",0912619774                              ,Tp Hcm,Xe Tải - Kinh Doanh và Phân Phối
Công Ty Cổ Phần Đầu Tư Ô Tô Đông Nam,"Km9, Võ Văn Kiệt, KCN Quang Minh, TT. Quang Minh, Mê Linh, Hà Nội",0981032808                              ,Hà Nội,Xe Tải - Kinh Doanh và Phân Phối
Ô Tô Tuấn Phát - Công Ty TNHH Thương Mại Ô Tô Tuấn Phát,"280/9/4 Đường TX25, KP. 2, P. Thạnh Xuân, Q. 12, TP. Hồ Chí Minh",(028) 62717079                                ,TP. Hồ Chí Minh,Xe Tải - Kinh Doanh và Phân Phối
Công Ty TNHH Đại Phát Tín,"Số 1286 Mặt Tiền, QL 1A, P. Thới An, Q. 12, Tp. Hồ Chí Minh (TPHCM)",18008043                                ,Tp Hcm,Xe Tải - Kinh Doanh và Phân Phối
Công Ty TNHH Ô Tô Trường Vũ,"666/10 Quốc Lộ 91B, KV Bình Trung, P. Long Hòa, Q. Bình Thủy, TP. Cần Thơ",0939888798                              ,TP. Cần Thơ,Xe Tải - Kinh Doanh và Phân Phối
Công Ty Cổ Phần Xuất Nhập Khẩu Ô Tô Giải Phóng,"Km 1, Đường Võ Văn Kiệt, X. Kim Chung, H. Đông Anh, Hà Nội",0904823889                              ,Hà Nội,Xe Tải - Kinh Doanh và Phân Phối
Công Ty TNHH Dịch Vụ Thương Mại Trường Giang,"Số 4/5, KP. 4, P. An Phú, TX. Thuận An, Bình Dương",0911688588                              ,Bình Dương,Xe Tải - Kinh Doanh và Phân Phối
Công Ty Cổ Phần Vân Nam,"111/2 Đường 18, KP. 2, P. Bình Hưng Hòa, Q. Bình Tân, Tp. Hồ Chí Minh (TPHCM)",0903075869                              ,Tp Hcm,Xe Tải - Kinh Doanh và Phân Phối
Công Ty TNHH Bình An,"Km 63+80 Quốc Lộ 37, X. Đồng Lạc, H. Nam Sách, Hải Dương",(0220) 3753899                                 ,Hải Dương,Xe Tải - Kinh Doanh và Phân Phối
Công Ty TNHH Hoàng Phi Hải,"112/4C Đường HT48, Tổ 3, Khu Phố 1, Phường Hiệp Thành, Quận 12, Tp. Hồ Chí Minh (TPHCM)",0707196197                              ,Tp Hcm,Xe Tải - Kinh Doanh và Phân Phối
Công Ty TNHH Ô Tô Đông Hải,"Số 15 BT2, Đường Trần Thủ Độ, KĐT. Pháp Vân, P. Hoàng Liệt, Q. Hoàng Mai, Hà Nội",(024) 36284128                                ,Hà Nội,Xe Tải - Kinh Doanh và Phân Phối
Công Ty Cổ Phần Đầu Tư Phát Triển Máy Việt Nam,"BT1-07 KĐT An Hưng -  Tố Hữu, Phường Dương Nội, Quận Hà Đông, Hà Nội",19001089                                ,Hà Nội,Xe Tải - Kinh Doanh và Phân Phối
Công Ty Cổ Phần Xuất Nhập Khẩu Ô Tô Long Biên,"Km12, Quốc Lộ 3, TT Đông Anh, H. Đông Anh, Hà Nội",(024) 32127233                                ,Hà Nội,Xe Tải - Kinh Doanh và Phân Phối
