Name,Address,Phone,Province,Brand,Quantity
VinFast Đông Sài Gòn,"Số 391 Xa lộ Hà Nội, Phường An Phú, TP.Thủ Đức, TP.HCM",0966.891.781,TP.HCM,Vinfas,8
VinFast VMM Royal City,"Vincom Mega Mall Royal City, 72A Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",0983.497.996,Hà Nội,Vinfas,8
VinFast VCP Long Biên,"Khu Đô Thị Vinhomes Riverside, Phường Phúc Lợi, Quận Long Biên, Hà Nội",0983.497.996,Hà Nội,Vinfas,8
VinFast Mỹ Đình,"Số 8 Phạm Hùng, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",0983.497.996,Hà Nội,Vinfas,8
VinFast VCP Lý Thái Tổ,"Vincom Plaza Lý Thái Tổ, Ngã 6 Mặt Đường Lý Thái Tổ và Trần Hưng Đạo, Phường Suối Hoa, TP. Bắc Ninh",0983.497.996,Bắc Ninh,Vinfas,8
VinFast Hải Dương,"Số 2A, đường Ngô Quyền, phường Cẩm Thượng, Thành phố Hải Dương, Tỉnh Hải Dương",0983.497.996,Hải Dương,Vinfas,8
VinFast Hải Phòng,"Tầng L1, TTTM Vincom Plaza Imperia Hải Phòng - Số 1 Bạch Đằng, Phường Thượng Lý, Quận Hồng Bàng, TP. Hải Phòng",0983.497.996,Hải Phòng,Vinfas,8
Mazda Bình Tân,"75 Đại Lộ Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, TPHCM",0967.556.650,TP.HCM,Mazda,26
Mazda Phú Mỹ Hưng,"314 Nguyễn Văn Linh, Phường Bình Thuận, Quận 7, TP.HCM",0934.072.449,TP.HCM,Mazda,26
Mazda Bình Triệu,"127 Quốc Lộ 13, Phường Hiệp Bình Chánh, Quận Thủ Đức, TPHCM",0906.682.102,TP.HCM,Mazda,26
Mazda Trường Chinh,"Số 827A - 829, Đường Trường Chinh, Phường Tây Thạnh, Quận Tân Phú, TPHCM",0784.888.898,TP.HCM,Mazda,26
Mazda Đà Nẵng,"Lô 8A Phạm Văn Đồng, Quận sơn trà.  TP. Đà Nẵng",0913.556.681,Đà Nẵng,Mazda,30
KIA Tân Sơn Nhất,"07 Hoàng Minh Giám, Phường 9, Quận Phú Nhuận, TP.HCM",0388.863.250,TP.HCM,Kia,48
KIA Bình Triệu,"153 Quốc Lộ 13, Phường Hiệp Bình Chánh, Quận Thủ Đức, TP.HCM",0587.533.699,TP.HCM,Kia,54
KIA Phú Mỹ Hưng,"314 Nguyễn Văn Linh, Phường Bình Thuận, Quận 7, TP.HCM",0934.072.449,TP.HCM,Kia,43
KIA Hồ Chí Minh,"Quận Thủ Đức, TP.HCM",0934.434.031,TP.HCM,Kia,43
KIA Yên Nghĩa,"Số 899, Tổ 9, Phường Phú Lãm, Quận Hà Đông, Hà Nội",0968.506.893,Hà Nội,Kia,50
KIA Đà Nẵng,"14 Phạm Văn Đồng, Quận Sơn Trà, TP. Đà Nẵng",0966.308.886,Đà Nẵng,Kia,43
KIA Biên Hòa,"Số 19 Đường 2A, Phường An Bình, TP. Biên Hòa, Tỉnh Đồng Nai",0385.200.367,Đồng Nai,Kia,43
KIA Phan Thiết,"Quốc Lộ 1A, Thôn Thắng Lợi, Xã Hàm Thắng, Huyện Hàm Thuận Bắc, Bình Thuận",0938.901.097,Bình Thuận,Kia,43
KIA Nha Trang,"Lô số 1, Khu Vực 2, Đường 23/10, Xã Vĩnh Hiệp, TP. Nha Trang, Tỉnh Khánh Hòa",0938.333.847,Khánh Hòa,Kia,43
Toyota Hiroshima Tân Cảng,"220Bis Điện Biên Phủ, Phường 22, Quận Bình Thạnh, TP.HCM",0936.241.629,TP.HCM,Toyota,35
Toyota Đắk Nông,"Quốc Lộ 14, Nguyễn Tất Thành, Nghĩa Tân, TP. Gia Nghĩa, Đắk Nông",0899.811.399,Đắk Nông,Toyota,37
Toyota Bắc Giang,"Thôn Riễu, Xã Dĩnh Trì, Thành Phố Bắc Giang, Tỉnh Bắc Giang",0981.865.222,Bắc Giang,Toyota,35
Toyota Bình Dương,"Lô C13 Đường Hùng Vương, Phường Hòa Phú, TP. Thủ Dầu Một, Tỉnh Bình Dương",0901.239.807,Bình Dương,Toyota,35
