,Name,Nganh,Khu vuc,Dia Chi,Phone
0,Cho Thuê Xe Nguyễn Anh Tuấn - Công Ty TNHH Vận Tải Và Du Lịch Nguyễn Anh Tuấn,Cho Thuê Xe Du Lịch ,Đồng Nai,"  31/5 Tổ 4, Khu 14, X. Long Đức, H. Long Thành, Đồng Nai, Việt Nam",0902 077 707 -  0931 770 807
1,Đội Xe Thu Hiền - Công Ty TNHH Vận Tải Du Lịch Và Dịch Vụ Thương Mại Long Hiền,Cho Thuê Xe Du Lịch ,Tp. Đà Nẵng,"  Lô D2-32, KDC Số 5 Nguyễn Tri Phương (60 Nguyễn Đăng Đạo), P. Hòa Cường Bắc, Q. Hải Châu, Tp. Đà Nẵng, Việt Nam",0975 288 111 -  0913 686 059
2,Chi Nhánh Bà Rịa-Vũng Tàu - Công Ty TNHH Vận Tải Và Du Lịch Nguyễn Anh Tuấn,Cho Thuê Xe Du Lịch ,Bà Rịa-Vũng Tàu,"  1216/80 Đường 30/04, Phường 6, Thành Phố Vũng Tàu, Bà Rịa-Vũng Tàu, Việt Nam",0902 077 707 -  0931 770 807
3,Xe Du Lịch Thảo Trang - Công Ty TNHH Thương Mại Dịch Vụ Du Lịch Thảo Trang,Cho Thuê Xe Du Lịch ,Đồng Nai,"  Số 124/10/8 Đường Bùi Trọng Nghĩa, Khu Phố 2, Phường Trảng Dài, Thành Phố Biên Hòa, Đồng Nai, Việt Nam",Hotline: 0933 001 101
4,Cho Thuê Xe Du Lịch Thành Thành - Công Ty TNHH Thương Mại Và Dịch Vụ Du Lịch Thành Thành,Cho Thuê Xe Du Lịch ,Khánh Hòa,"  31A Lê Quý Đôn, Phường Tân Lập, Thành phố Nha Trang, Khánh Hòa, Việt Nam",(0258) 3527007 -  0903503304
5,Chi Nhánh Bình Dương - Công Ty TNHH Vận Tải Và Du Lịch Nguyễn Anh Tuấn,Cho Thuê Xe Du Lịch ,Bình Dương,"  Tổ 18 Khu Phố Đông Chiêu, Phường Tân Đông Hiệp, TP. Dĩ An, Bình Dương, Việt Nam",0902 077 707 -  0931 770 807
6,Chi Nhánh HCM - Công Ty TNHH Vận Tải Và Du Lịch Nguyễn Anh Tuấn,Cho Thuê Xe Du Lịch ,Tp. Hồ Chí Minh,"  68 Mai Chí Thọ, Phường An Phú, Quận 2, Tp. Hồ Chí Minh, Việt Nam",0902 077 707 -  0931 770 807
7,Xe Liên Tỉnh Thanh Tuyền - Đội Xe Thanh Tuyền,Cho Thuê Xe Du Lịch ,Tp. Hồ Chí Minh,"  37/423E, Lê Đức Thọ, Phường 17, Gò Vấp, Tp. Hồ Chí Minh, Việt Nam",0971 660 604
8,Cho Thuê Xe Du Lịch TPHCM - Công Ty TNHH Thuê Xe Du Lịch TPHCM,Cho Thuê Xe Du Lịch ,Tp. Hồ Chí Minh,"  1603 Phạm Thế Hiển, P. 6, Q. 8, Tp. Hồ Chí Minh, Việt Nam",0707 321 321
9,Dịch Vụ Cho Thuê Xe Tự Lái Kim,Cho Thuê Xe Du Lịch ,Huyện Bình Chánh Tp. Hồ Chí Minh,"  C7C, Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh Tp. Hồ Chí Minh, Việt Nam",0914 066 895 -  0943 961 311
10,Vận Tải Quỳnh Anh - Công Ty TNHH MTV Thương Mại Vận Tải Quỳnh Anh,Cho Thuê Xe Du Lịch ,Tp. Hồ Chí Minh,"  112A Cao Thắng, P. 17, Q. Phú Nhuận, Tp. Hồ Chí Minh, Việt Nam",Hotline: 0903 992 967 -  0966 992 901
11,Dịch Vụ Du Lịch Koi Tourist - Công Ty TNHH MTV Dịch Vụ Du Lịch Koi Tourist,Cho Thuê Xe Du Lịch ,Tp. Đà Nẵng,"  42 Nguyễn Lai, Phường Khuê Trung, Quận Cẩm Lệ, Tp. Đà Nẵng, Việt Nam",0918 067 476
12,"Dịch Vụ Xe Đưa Đón CBCNV, Xe Du Lịch - Công Ty Cổ Phần Hoàng Gia BN",Cho Thuê Xe Du Lịch ,Bắc Ninh,"  Số 215 Nguyễn Phong Sắc, Phượng Mao, Quế Võ, Bắc Ninh, Việt Nam",Hotline: 0968 977 123 -  0922 56 56 58
13,Du Lịch Việt Tín - Công Ty TNHH Thương Mại Dịch Vụ Du Lịch Việt Tín,Cho Thuê Xe Du Lịch ,Tp. Hồ Chí Minh,"  204E Sư Vạn Hạnh, P. 9, Q. 5, Tp. Hồ Chí Minh, Việt Nam",(028) 38333108
14,Vận Tải Phú Thành Phát - Công Ty TNHH MTV Thương Mại Dịch Vụ Vận Tải Phú Thành Phát,Cho Thuê Xe Du Lịch ,Đồng Nai,"  Số 68 Hẻm 9 Tổ 38 Đường Trần Nhân Tông, Khu Cầu Xéo,  TT. Long Thành, Đồng Nai, Việt Nam",0908.368.856 -  0908.128.856
15,Cho Thuê Xe Anh Huy - Công Ty TNHH MTV Vận Tải Và Du Lịch Nguyễn Anh Huy,Cho Thuê Xe Du Lịch ,Đồng Nai,"  Số 76, Tổ 4, Khu 14, Long Đức, Long Thành, Đồng Nai, Việt Nam",0932 600 060 -  0914 846 932
16,Vietindo Travel - Công Ty TNHH Việt Nam Đông Dương,Cho Thuê Xe Du Lịch ,Hà Nội,"  TT3.9 Building Số 1, Đường Cổ Linh, Q. Long Biên, Hà Nội, Việt Nam",(024) 36 365 365 -  0866 090 007
17,P&T Vina - Công Ty TNHH Dịch Vụ P&T Vina,Cho Thuê Xe Du Lịch ,Tp. Hồ Chí Minh,"  9/17B Ấp 6, Xã Đông Thạnh, Huyện Hóc Môn, Tp. Hồ Chí Minh, Việt Nam",Hotline: 0902 525 175 -  0902 025 175
18,Du Lịch Hoàn Hảo - Công Ty Cổ Phần Thương Mại Và Dịch Vụ Du Lịch Hoàn Hảo,Cho Thuê Xe Du Lịch ,Hải Dương,"  Số 42 Đường Phạm Hùng, P. Thanh Bình, Hải Dương, Việt Nam",0967 687 708 / 0934 692 885
19,Du Lịch Nam Việt Cường - Công Ty TNHH Thương Mại Và Du Lịch Nam Việt Cường,Cho Thuê Xe Du Lịch ,Tỉnh Hải Dương,"  182 Bà Triệu, P. Thanh Bình, Tp. Hải Dương, Tỉnh Hải Dương, Việt Nam",0989 242 805 -  0913 374 303
