,uid,Name,Status,Members,Posts_per_day,Group
0,672868709452475,Hội BMW,Private,100000,10 posts a day,Car
1,350063829066790,Yêu Xe Đức (BMW - MERCEDES - AUDI - PORSCHE - VW)),Public,193000,4 posts a day,Car
2,1333414977058719,Hội Mua Bán Mercedes - Bmw - Audi - Porsche,Private,60000,10+ posts a day,Car
3,853253952269762,Hội BMW Việt Nam™ (BMWClubVietNam),Private,47000,10+ posts a day,Car
4,1010993362286057,BMW X+ VIETNAM,Private,27000,2 posts a day,Car
5,1105603649475313,BMW Vietnam Club (F&G Only),Private,89000,10 posts a week,Car
6,787890911412880,"NGHIỆN XE CŨ, LƯỚT - (BMW, Mercedes, Volvo, Audi,..)☑️",Private,22000,10+ posts a day,Car
7,1057129280995022,Hội BMW X series Việt Nam,Private,18000,10+ posts a day,Car
8,1931782820286617,BMW Group,Public,817000,10+ posts a day,Car
9,5697654273578455,"Hội BMW Series 3, 320i, 328i, 330i MSport, GT Việt Nam (F30-G20 Club)",Public,27000,10+ posts a day,Car
10,374728447815735,Hội BMW - MERCEDES BENZ Hà Nội,Public,1900,3 posts a day,Car
12,325284798299876,Hội BMW X5 E70 Hà Nội,Private,2100,2 posts a day,Car
13,1684941831985112,"Hội BMW 320i, 330i, 430i, 520i, 735i, 740i, 840i Việt Nam™ (BMWiClubVN)",Private,16000,9 posts a day,Car
14,244068249580338,"XE SANG CŨ, LƯỚT - Mercedes, BMW, Volvo, Audi,..",Private,4400,10+ posts a day,Car
15,1469959256654697,Hội Những Người Thợ Chuyên Sửa Mercedes Và BMW,Public,3600,3 posts a day,Car
16,740028679369897,SuEn150A Hà Nội Team,Public,1900,10 posts a week,Car
17,544172202628968,Audi Lướt Việt Nam,Public,3200,6 posts a day,Car
18,562966314524899,Toyota Camry Club Việt Nam™ ( Camry VN Official ),Public,5900,10+ posts a day,Car
19,390124175129048,Honda HRV Club Việt Nam™(Original),Public,2700,4 posts a day,Car
20,1401063206647864,ĐAM MÊ SAXOPHONE,Public,5000,8 posts a month,Car
21,522415487958697,Honda Accord Club Việt Nam™ official,Public,4800,3 posts a day,Car
22,300276376673285,Product and User Experience (UX),Private,4200,,Car
23,1584562701554619,HỘI ĐỒNG NGŨ -3 -97 E174 F316 PHÚ THỌ,Private,86,,Car
24,460308919425214,"LIGHTER LUXURY ST.DUPONT - CATIER - DUNHILL … PHỤ KIỆN, ĐỒ SƯU TẦM",Public,44,6 posts a month,Car
25,134509698491192,Hội Toyota Fortuner Việt Nam™ (FotunerClubVN),Public,178000,10+ posts a day,Car
26,1503961103064372,Vựa 2nd,Private,5400,2 posts a day,Car
27,2114349992177538,High Mileage Cars (Bim Già Mẹc Cổ),Public,50000,10+ posts a day,Car
28,578783430024642,HỘI MERCEDES VIỆT NAM ✅,Public,36000,4 posts a week,Car
29,272385494809721,HỘI AUDI VIỆT NAM ✅,Public,37000,8 posts a month,Car
30,754645374619183,Chợ R.C,Private,50000,10 posts a day,Car
31,826132234722173,HỘI PEUGEOT VIỆT NAM ✅,Public,34000,7 posts a week,Car
32,415600973444301,HỘI SUBARU VIỆT NAM ✅,Public,36000,4 posts a week,Car
34,2560982040811276,"HỘI MAZDA2, MAZDA3, MAZDA6, CX5, CX8",Public,471,5 posts a day,Car
37,463584774324588,BMW Motorrad - Mua Bán,Public,12000,6 posts a day,Car
38,535277326546870,BMW Car Club Vietnam - Saigon Chapter ( BCCS),Public,7200,2 posts a week,Car
39,1057393287660174,BMW G310R/GS VIETNAM & FRIENDS,Private,4400,3 posts a week,Car
40,744084102658904,Hội PORSCHE BMW MERCEDES MAYBACH VOLVO AUDI RANGEROVER LEXUS TOYOTA,Public,3500,8 posts a day,Car
41,200514210820565,Hội BMW,Public,37000,8 posts a day,Car
42,489901095376119,BMW 320i 330i Viet Nam,Public,3000,,Car
43,891175357936017,BMW G310 VIETNAM LOVER,Private,364,,Car
79,1380531312187344,Hội Audi Việt Nam ( Club Sài Gòn ),Private,13000,10 posts a day,Car
80,551825815176341,Hội Audi Hà Nội (Club Vietnam),Public,4000,7 posts a day,Car
81,2026164571030879,Audi Vietnam Fan Club,Public,5200,2 posts a day,Car
82,322525144869447,Audi club VietNam,Public,4000,6 posts a day,Car
83,366646781548534,Hội Audi Việt Nam™ (AudiClubVietNam),Private,39000,6 posts a day,Car
84,248048459439511,Audi Q7 _ Q8 Club Việt Nam,Private,1900,3 posts a day,Car
85,322720878488881,Hội AuDi Miền Nam™ (AudiClubSG),Public,10000,10 posts a day,Car
86,672457250069762,Audi Owners Club,Public,93000,10+ posts a day,Car
87,657006774762071,Hội BMW - Mercedes - Audi Club miền bắc,Public,1800,4 posts a day,Car
89,492664045358162,Club TFX 150 Hà Nội,Public,64000,8 posts a day,Car
91,1046399085379692,Toyota Camry Club Vietnam TCCV,Private,14000,6 posts a day,Car
