Name,Address,Phone,Province,Service
Phụ Tùng Ô Tô Mạnh Tùng - Công Ty Cổ Phần Thương Mại Và Dịch Vụ Mạnh Tùng,"Số 2, Ngách 331/4, Đường Trần Khát Chân, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội","(024) 66565395, 0912 563 567, 0902 229 895    ",Hà Nội,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Phụ Tùng Ô Tô Bố Thắng Ngũ Thành - Cửa Hàng Bố Thắng Ngũ Thành,"158/C24 25 Phan Anh, P. Tân Thới Hoà, Q. Tân Phú, Tp. Hồ Chí Minh (TPHCM)",0903746952                              ,Tp Hcm,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Phụ Tùng Ô Tô Vũ Phương - Công Ty TNHH Thương Mại Vũ Phương,"Số 12 Đường Số 7 (Số cũ 818/47 Nguyễn Kiệm), P. 3, Q. Gò Vấp, Tp. Hồ Chí Minh (TPHCM)","(028) 39859889, 0938082338                    ",Tp Hcm,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Trung Tâm Phụ Tùng Điều Hòa Ô Tô Hà Nội,"Số 4 ngách 1, Ngõ 84 Thị Sáu, Q. Hai Bà Trưng, Hà Nội","0965 405 040, 0967 149 409              ",Hà Nội,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Tổng Đại Lý Phụ Tùng Ô Tô Tải Trung Quốc Lan Thưởng,"Số 121-123 Phố Lạc Nghiệp, P. Thanh Nhàn, Q. Hai Bà Trưng, Hà Nội",0372 172 302 - 0968 622 768             ,Hà Nội,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Công Ty Cổ Phần GDC Việt Nam,"CX4, Cụm CN Nguyên Khê, X. Nguyên Khê, Đông Anh, Hà Nội","094.886.1981, 0972 585 888              ",Hà Nội,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Ô Tô Phú Khang - Công Ty TNHH Thương Mại Và Dịch Vụ Phú Khang,"Số 2699 Trần Hưng Đạo, P. Mỹ Thạnh, Tp. Long Xuyên, An Giang","(0296) 3933337, 0913 777 717                   ",An Giang,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Trung Tâm Điện Lạnh Ô Tô Gia Huy,"Trần Khát Trân, Q. Hai Bà Trưng, Hà Nội",0904 858 544                            ,Hà Nội,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
EMTC - Công Ty CP Dụng Cụ Cơ Khí Xuất Khẩu,"Lô 15A, Khu Công Nghiệp Quang Minh, Thị Trấn Quang Minh, Huyện Mê Linh, Hà Nội",(024) 3586 0394                               ,Hà Nội,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Phụ Tùng Ô Tô Phạm Gia - Công Ty TNHH Đầu Tư Và Phát Triển Thương Mại Phạm Gia,"Số 76-78, Phố Lạc Nghiệp, Đường Trần Khát Chân, Phường Thanh Nhàn, Q. Hai Bà Trưng, Hà Nội","0865 856 585, 0985 281 269              ",Hà Nội,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Nhíp Ô Tô Miền Bắc,"Số 11B Thôn Chúc Lý, X. Ngọc Hòa, H. Chương Mỹ, Hà Nội",0976820219                              ,Hà Nội,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Phụ Tùng Ô Tô Khởi Phát Việt - Công Ty TNHH Thương Mại Và Đầu Tư Khởi Phát Việt,"Số 35 An Xuân, P. An Khê, Q. Thanh Khê, Tp. Đà Nẵng",0972 000 234                            ,Đà Nẵng,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Nhíp Ô Tô Miền Bắc,"Số 11B Thôn Chúc Lý, X. Ngọc Hòa, H. Chương Mỹ, Hà Nội",0976820219                              ,Hà Nội,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Phụ Tùng Ô Tô Bình Triệu - Công Ty TNHH Phụ Tùng Ô Tô Bình Triệu,"9/2 Đường Số 8, P. Hiệp Bình Chánh, TP. Thủ Đức, Tp. Hồ Chí Minh (TPHCM)",0917 914 917                            ,Tp Hcm,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Phụ Tùng Ô Tô Sinh Tân - Công Ty TNHH Thương Mại Dịch Vụ Sinh Tân,"124-126 Lê Hoàng Phái, P. 17, Q. Gò Vấp, Tp. Hồ Chí Minh (TPHCM)","(028) 38942133, 090.999.2830                  ",Tp Hcm,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Phụ Tùng Ô Tô Xuân Bảo - Công Ty TNHH Phụ Tùng Ô Tô Xuân Bảo,"495 Kinh Dương Vương, P. An Lạc, Q. Bình Tân, Tp. Hồ Chí Minh (TPHCM)",0909 689 663                            ,Tp Hcm,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Điện Tử Hoa Việt - Công Ty TNHH SX Và TM XNK Công Nghệ Điện Tử Hoa Việt,"Thôn Đỗ Hạ, X. Quang Vinh, H. Ân Thi, Hưng Yên","0375 996 348 , 0344 350 883 ( Mr Cao )  ",Hưng Yên,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Lốp Xe Phi Long - Công Ty Ô Tô Phi Long,"1692 Mỹ Phước Tân Vạn, TP. Thủ Dầu Một, Bình Dương",0975 76 77 77 – 0975 76 77 78           ,Bình Dương,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Chubu Engineering Việt Nam - Công Ty TNHH Chubu Engineering Việt Nam,"Đường Số 6 - KCN Nhơn Trạch III - Giai Đoạn 2, TT. Hiệp Phước, H. Nhơn Trạch, Đồng Nai","(0251) 3686072, 0785 170 787                   ",Đồng Nai,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Cơ Khí An Việt - Doanh Nghiệp Tư Nhân Sản Xuất Thương Mại An Việt,"Số 15 Tập Thể Xây Lắp Điện, P. Phú Lương, Q. Hà Đông, Tp. Hà Nội","(024) (024)62946855, 0913 383 189             ",Hà Nội,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Khuôn Dập Đồng Nai - Công Ty TNHH Cơ Khí Chính Xác HDP,"Số 3979, Tổ 5, KP Tân Cang, Phừơng Phước Tân, Thành phố Biên Hoà, Đồng Nai","0909 902 715, 0908 232 965              ",Đồng Nai,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Garage Ô Tô Sáu Thanh - Công Ty TNHH MTV Thương Mại Dịch Vụ Ô Tô Sáu Thanh,"Số 20A, Tổ 1, KP. Khánh Long, P. Tân Phước Khánh, TX. Tân Uyên, Bình Dương","(0274) 652 0528, 0934 771 255                  ",Bình Dương,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Xe Chuyên Dụng Cao Thanh Đạt - Công Ty Cổ Phần Thiết Bị Môi Trường Cao Thanh Đạt,"Khu Công Nghiệp Tân Quang, Xã Tân Quang, Huyện Văn Lâm, Hưng Yên","(024) 63293734, 0985 452 109                  ",Hưng Yên,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Thiết Bị Định Vị Sông Bé Auto - Hợp Tác Xã Dịch Vụ Vận Tải Sông Bé,"273 KP. Đông Tư, P. Lái Thiêu, TP. Thuận An, Bình Dương",0901 423 638                            ,Bình Dương,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Toyota Long Biên - Công Ty TNHH Toyota Long Biên,"Số 7-9 Đường Nguyễn Văn Linh, Tổ 17, P. Gia Thụy, Q. Long Biên, Hà Nội",098 722 3379                            ,Hà Nội,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Anh Thi Auto - Hộ Kinh Doanh Anh Thi,"401 An Dương Vương, P. 3, Q. 5, Tp. Hồ Chí Minh (TPHCM)",0903 863 082                            ,Tp Hcm,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Cải Tạo Thiết Kế Đóng Mới Thùng Tải - Công Ty TNHH Hồng Khải Nguyễn,"195 Lê Hồng Phong, P. Phú Lợi, TP. Thủ Dầu Một, Bình Dương","(0274) 3636936, Hotline: 0906 37 54 55         ",Bình Dương,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Phụ Tùng Ô Tô Xe Máy Luyện Luân Hưng - Công Ty Trách Nhiệm Hữu Hạn Luyện Luân Hưng,"CCN Thanh Oai, H. Thanh Oai, Hà Nội",(024) 3972391                                 ,Hà Nội,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Phụ Tùng Ô Tô Nguyễn Hoàng - Công Ty TNHH Thương Mại Dịch Vụ Ô Tô Nguyễn Hoàng,"52/8A Đường HT31, Tổ 07, KP. 01, P. Hiệp Thành, Q. 12, Tp. Hồ Chí Minh (TPHCM)","(028) 66827649, Hotline: 0938.700.858         ",Tp Hcm,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
Chi Nhánh Công Ty TNHH SXTM Phương Nam,"28 Giáp Hải 1, Xương Giang, TP. Bắc Giang, Bắc Giang",Hotline: 0982 577 565                   ,Bắc Giang,"Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi"
