Name,Address,Phone,Quantity,Brand,Province
Subaru Thăng Long,"Trung tâm thương mại The Garden, phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",0965986908,4,Subaru,Hà Nội
Toyota Long Thành – Đồng Nai,"Số 1797 QL51, Ấp Xóm Gốc, Huyện Long Thành, Tỉnh Đồng Nai",0909 810 175,40,Toyota,Đồng Nai
KIA Đắk Lắk,"19 Nguyễn Tất Thành, phường Tân Lợi, TP BMT, ĐakLak",0969448335,54,Kia,Đắk Lắk
MINI Bình Dương,"56/9 Đại lộ Bình Dương, Khu phố Bình Giao, Thành phố Thuận An, Tỉnh Bình Dương",0969448335,10,Multibrand,Bình Dương
KIA Bình Thuận,"QL1A, Xã Hàm Thắng, Huyện Hàm Thuận Bắc, Tỉnh Bình Thuận",0938901344,54,Kia,Bình Thuận
Mitsubishi Bà Rịa – Vũng Tàu,"545 Quốc Lộ 51, Phường Kim Dinh, TP. Bà Rịa, Vũng Tàu.",0969448335,14,Mitsubishi,Bà Rịa-Vũng Tàu
KIA Cam Ranh,"1580 Hùng Vương, Cam Phú, Cam Ranh, Khánh Hoà",0969448335,54,Kia,Khánh Hoà
Mitsubishi Trường Chinh,"831 Trường Chinh, P.Tây Thạnh, Q.Tân Phú, Hồ Chí Minh",0969448335,14,Mitsubishi,TP HCM
Volkswagen An Phú,"67 Mai Chí Thọ, Phường An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",0969448335,11,Volkswagen,TP HCM
Mitsubishi Bắc Giang,"Lô CC 02 khu đô thị phía nam, TP Bắc Giang",0969448335,14,Mitsubishi,Bắc Giang
Peugeot Phú Nhuận,"157 Phan Đăng Lưu, Phường 01, Quận Phú Nhuận",0969448335,9,Peugeot,TP HCM
KIA Đông Thọ,"686 Nguyễn Chí Thanh, phường Đông Thọ, Thanh Hoá",0969448335,54,Kia,Thanh Hóa
Volkswagen I.D Auto,"Số 18 Phạm Hùng,Nam Từ Liêm, Hà Nội",0963086699,11,Volkswagen,Hà Nội
Hưng Yên Ford,"226-228 đường Phạm Bạch Hổ, phường Lam Sơn, thành phố Hưng Yên, tỉnh Hưng Yên.",0969448335,13,Ford,Hưng Yên
Peugeot Bà Rịa,"21 Cách Mạng Tháng 08, Phường Long Hương, TP. Bà Rịa",0969448335,9,Peugeot,Bà Rịa-Vũng Tàu
KIA Long Thành,"821 Trường Chinh, Tổ 39, Khu Cầu Xéo, TT. Long Thành, Đồng Nai",0962844581,54,Kia,Đồng Nai
Toyota Yên Bái,"Thôn Phúc Thịnh, Xã Giới Phiên, TP. Yên Bái, Tỉnh Yên Bái",0969448335,40,Toyota,Yên Bái
Peugeot Yên Bái,"Thôn thanh hùng 2, xã tân thịnh, Thành phố Yên Bái",0969448335,9,Peugeot,Yên Bái
VinFast Bà Triệu,"191 P. Bà Triệu, P, Hai Bà Trưng, Hà Nội",0969448335,15,Vinfas,Hà Nội
VinFast Bắc Từ Liêm,"234 Phạm Văn Đồng, Cổ Nhuế, Bắc Từ Liêm, Hà Nội",0969448335,15,Vinfas,Hà Nội
VinFast Nguyễn Văn Linh,"1 Nguyễn Văn Linh, Gia Thụy, Long Biên, Hà Nội",0969448335,15,Vinfas,Hà Nội
VinFast Quốc Oai,"Khu công nghiệp Thạch Thất - Quốc Oai, Thị Trấn Quốc Oai, Huyện Quốc Oai, Hà Nội",0969448335,15,Vinfas,Hà Nội
MINI Sala,"12 Mai Chí Thọ, TP. Thủ Đức, TP. Hồ Chí Minh",0969448335,10,Multibrand,TP HCM
MINI Đà Nẵng,"356 Điện Biên Phủ, Phường Thanh Khê Đông, Quận Thanh Khê, TP. Đà Nẵng",0969448335,10,Multibrand,Đà Nẵng
MINI Long Biên,"01 Ngô Gia Tự, Quận Long Biên, Hà Nội",0969448335,10,Multibrand,Hà Nội
MINI Nguyễn Văn Trỗi,"80 Nguyễn Văn Trỗi, Quận Phú Nhuận, TP.HCM",0969448335,10,Multibrand,TP HCM
MINI Lê Văn Lương,"68 Lê Văn Lương, P. Nhân Chính, Quận Thanh Xuân, Hà Nội",0969448335,10,Multibrand,Hà Nội
MINI Lê Duẩn,"132 Lê Duẩn, Quận Hai Bà Trưng, Hà Nội",0969448335,10,Multibrand,Hà Nội
Nissan Hải Dương,"175 An Định, phường Bình Hàn, Tp. Hải Dương, tỉnh Hải Dương",0969448335,7,Nissan,Hải Dương
Maserati Hà Nội,"18 Lê Phụng Hiểu, Quận Hoàn Kiếm, Hà Nội",0969448335,3,Multibrand,Hà Nội
Maserati Lê Duẩn,"03 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",0969448335,3,Multibrand,TP HCM
Jaguar Phú Thái Hồ Chí Minh,"GF51, Crescent Mall, 101 Tôn Dật Tiên, Tân Phú, Quận 7, Hồ Chí Minh",0969448335,22,Multibrand,TP HCM
Jaguar Phú Thái Hà Nội,"166 Khuất Duy Tiến, Nhân Chính, Thanh Xuân, Hà Nội",0969448335,22,Multibrand,Hà Nội
Suzuki Sodinha Quảng Trị,"Km753, QL1A, Cam Thanh, Cam Lộ, Quảng Trị",0969448335,7,Suzuki,Quảng Trị
Suzuki Thịnh Hưng,"456A Nguyễn Hữu Thọ, P. Khuê Trung, Q. Cẩm Lệ, Đà Nẵng",0969448335,7,Suzuki,Đà Nẵng
Suzuki Thịnh Phát,"3718B QL51, P. Phước Trung, Tp. Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu",0969448335,7,Suzuki,Bà Rịa-Vũng Tàu
Suzuki Trọng Thiện,"Khu Đô Thị Mới Sở Dầu, P. Sở Dầu, Hồng Bàng, Hải Phòng",0969448335,7,Suzuki,Hải Phòng
Suzuki Vân Đạo Hà Nội,"Đường 32, Khu Công nghiệp Lai Xá, Kim Chung, Hoài Đức, Hà Nội",0969448335,7,Suzuki,Hà Nội
Suzuki Vân Đạo Thái Nguyên,"Km5, Đường CMT8, Tp. Thái Nguyên",0969448335,7,Suzuki,Thái Nguyên
