Name,Address,Phone,Province,Service
Xe Liên Tỉnh Thanh Tuyền - Đội Xe Thanh Tuyền,"37/423E, Lê Đức Thọ, Phường 17, Gò Vấp, Tp. Hồ Chí Minh (TPHCM)",0971 660 604                            ,Tp Hcm,Taxi
Mai Linh - Công Ty Cổ Phần Tập Đoàn Mai Linh,"64-68 Hai Bà Trưng, P. Bến Nghé, Q. 1, Tp. Hồ Chí Minh (TPHCM)",(028) 38298888                                ,Tp Hcm,Taxi
Công Ty Cổ Phần Taxi Hà Nội,"Phòng 1001, Tầng10, Tòa Nhà Thăng Long, 105 Láng Hạ, Q. Đống Đa, Hà Nội",(024) 38262626                                ,Hà Nội,Taxi
Công Ty Cổ Phần Hợp Tác Đầu Tư & Phát Triển,"15 Phạm Hùng, Tòa Nhà Toyota Mỹ Đình, Q. Nam Từ Liêm, Hà Nội",(024) 38535353                                ,Hà Nội,Taxi
én Vàng Taxi - Công Ty Cổ Phần én Vàng Quốc Tế,"Số 25 Lê Đại Thanh, CCN Cành Hầu, P. Lãm Hà, Q. Kiến An, Tp. Hải Phòng","(0225) 3667999, 3667190                        ",Hải Phòng,Taxi
Đi Chung,"P211, Tầng 2, Tháp B, Tòa Nhà Sông Hồng Parkview, 165 Thái Hà, Đống Đa, Hà Nội",(024) 32002566                                ,Hà Nội,Taxi
Công Ty CP Ánh Dương Việt Nam - Chi Nhánh Bình Phước,"Số 249, Quốc Lộ 14, P. Tân Thiện, TX. Đồng Xoài, Bình Phước",(0271) 3628888                                 ,Bình Phước,Taxi
Công Ty TNHH Open99 Long An,"Số 33, Đường Phan Văn Chiêu, P. 6, TP. Tân An, Long An","(0272) 38282828, 0996002555                    ",Long An,Taxi
Công Ty CP Đi Chung,"Tầng 4, Số 166 Phố Huế, P. Ngô Thì Nhậm, Q. Hai Bà Trưng, Hà Nội",(024) 32002566                                ,Hà Nội,Taxi
Công Ty TNHH Thương Mại Thiên Phong,"VPGD: Số 1 đường Long Biên, P. Ngọc Lâm, Q. Long Biên, Hà Nội",(024) 32 57 57 57                             ,Hà Nội,Taxi
Công Ty Cổ Phần Thông Tin Mạng Việt Nam,"Số 103, Phố Đặng Tiến Đông, P. Trung Liệt, Q. Đống Đa, Hà Nội","(024) 37753846, 38517265, 0932352866          ",Hà Nội,Taxi
Đức Thảo - Công Ty TNHH Đức Thảo,"79 Trần Bình Trọng, P. Phú Thọ, Tx. Thủ Dầu Một, Bình Dương",(0274) 3828282                                 ,Bình Dương,Taxi
Dịch Vụ Cho Thuê Xe Đăng Khoa,"112 Trần Hưng Đạo, Thành Phố Quy Nhơn, Bình Định",0983 222 508,Bình Định,Taxi
Công Ty Cổ Phần Thương Mại Hàng Không CamRank Nha Trang,"86 Trần Phú, P. Phước Lộc Thọ, Tp. Nha Trang, Khánh Hòa",(0258) 6252200                                 ,Khánh Hòa,Taxi
Taxi Thành Quả - Công Ty Cổ Phần Dịch Vụ Thành Quả,"183 Quốc Lộ 9, Tp. Đông Hà, Quảng Trị",(0233) 3898989777                          ,Quảng Trị,Taxi
Công Ty TNHH Thương Mại Và Phát Triển Kỹ Thuật,"Số 103,  Phố Đặng Tiến Đông, P. Trung Liệt, Q. Đống Đa, Hà Nội",(024) 38517265                                ,Hà Nội,Taxi
Công ty TNHH Kết Nối Taxi Nội Bài,"Phòng 1096, Tầng 10, Tòa Nhà Vân Nam, Số 26 Đường Láng, Q. Đống Đa, Hà Nội",(024) 35729666                                ,Hà Nội,Taxi
Công Ty Cổ Phần Fastt,"21 Đặng Trần Côn, phường Quốc Tử Giám, quận Đống Đa Hà Nội",(024) 62727272                                ,Hà Nội,Taxi
Công Ty TNHH Đầu Tư Vận Tải Sơn Thu,"Khu Đường 2, Thôn Thái Phù, X. Mai Đình, H. Sóc Sơn, Hà Nội",(024) 35841646                                ,Hà Nội,Taxi
Taxi Sân Bay Nội Bài,"40 Mã Mây, Hoàn Kiếm, Hà Nội",(024) 39262641                                ,Hà Nội,Taxi
Công Ty TNHH Thịnh Hưng,"Quất Lưu, Bình Xuyên, Vĩnh Phúc",(0211) 3595959                                 ,Vĩnh Phúc,Taxi
Công Ty Cổ Phần Vận Tải & Dịch Vụ Du Lịch Phương Trang,"486 - 486A, P. Tân Phong, Q. 7, Tp. Hồ Chí Minh (TPHCM)",(028) 38386853                                ,Tp Hcm,Taxi
Công ty Cổ phần Open99 Gia Định,"1026 Tạ Quang Bửu, Phường 6, Quận 8, Tp. Hồ Chí Minh (TPHCM)",(028) 38282828                                ,Tp Hcm,Taxi
Thanh Nga - Công Ty Cổ Phần Thanh Nga,"13/179 Trương Định, Tương Mai, Q. Hoàng Mai, Hà Nội",(024) 36625448                                ,Hà Nội,Taxi
Công Ty TNHH Taxi Đại Hòa Phát,"Số Nhà 50, Tổ 08, Đường Phạm Văn Đồng, P. Xuân Hòa, TX. Phúc Yên, Vĩnh Phúc",(024) 38181818                                ,Vĩnh Phúc,Taxi
Taxi Tải Hoa Vinh - Công Ty CP Vận Tải TM Và DV Hoa Vinh,"37/591 Thiên Lôi, Q. Lê Chân, Tp. Hải Phòng",(024) 33883388                                ,Hải Phòng,Taxi
Công Ty TNHH Phát Triển Quốc Tế Việt Long,"585/9 Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Tp. Hồ Chí Minh (TPHCM)",0944 129 839,Tp Hcm,Taxi
Công Ty CP Thương Mại Và Dịch Vụ Vận Tải Du Lịch Nội Bài 247,"Số 6, Ngách 56, Ngõ 19, Đường Mai Động, P. Mai Động, Q. Hoàng Mai, Hà Nội",0788 023 023,Hà Nội,Taxi
Công Ty TNHH OPEN 99 Đồng Nai,"Số 90, Ấp 7 , X. An Phước, H. Long Thành, Đồng Nai",(0251) 3999999                                 ,Đồng Nai,Taxi
Công Ty Cổ Phần én Vàng Quốc Tế,"Cụm Công Nghiệp Cánh Hầu, P. Lãm Hà, Q. Kiến An, Tp. Hải Phòng",(0225) 3777889                                 ,Hải Phòng,Taxi
Công Ty Cổ  Phần Thương Mại & Dịch Vụ Quốc Tế - Chi Nhánh Bình Thuận,"Tầng 2, Tòa nhà Viettel Bình Thuận, Tôn Đức Thắng, P. Phú Thủy, Tp. Phan Thiết, Bình Thuận",(0252) 3525252                                 ,Bình Thuận,Taxi
Dịch Vụ Xe Du Lịch Khánh Huyền,"2/33 B4 Tổ 21, Khu Phố 5, Phường Đông Hưng Thuận, Quận 12, Tp. Hồ Chí Minh (TPHCM)",0373 313 011,Tp Hcm,Taxi
