,uid,Name,Status,Members,Posts_per_day,Group
0,1019434248074751,Hội Taxi Xe Gia Đình Đi Tỉnh Giá Rẻ (Xe Tìm Khách Và Khách Tìm Xe),Private,108000,10+ posts a day,Taxi
1,2352586128357081,HỘI LÁI XE VIC TAXI,Public,1300,10 posts a week,Taxi
2,159013137999046,TAXI Vân Đình,Public,4400,10+ posts a day,Taxi
3,1543084719244825,Hội Lái Xe G7 TAXI Chính Thống,Private,4700,10 posts a day,Taxi
4,861031968391853,Taxi Mê Linh - Hà Nội,Public,16000,5 posts a day,Taxi
5,802542523168359,Hội Taxi Hà Nam,Private,8600,7 posts a day,Taxi
6,2331885570258118,Hội Taxi Mỹ Đình Hà Nội,Public,1200,2 posts a day,Taxi
7,1571387859845225,TAXI 25 THƯỜNG TÍN,Public,3700,8 posts a day,Taxi
8,2591966504396571,Taxi Thanh Trì ✅,Public,7300,10 posts a week,Taxi
11,3223799127889385,Taxi Quy Nhơn,Public,50000,8 posts a month,Taxi
13,1593339450756358,TAXI THẠCH THẤT,Public,1900,3 posts a day,Taxi
15,566404666892225,Hội Taxi Sân bay Nội Bài Hà Nội đi các tỉnh giá rẻ,Private,69000,10+ posts a day,Taxi
16,809934009053853,Hội Taxi  Đưa Đón Sân Bay Nội Bài & Xe Đi Tỉnh Giá Rẻ,Private,41000,10+ posts a day,Taxi
17,627702371486596,Taxi - xe gia đình Hà Nội,Public,12000,10 posts a day,Taxi
18,1273958770214462,TAXI GIA ĐÌNH HÀ NỘI,Public,10,20 posts a year,Taxi
19,558292644242987,Thanh Lý Voucher Nghỉ Dưỡng Toàn Quốc,Private,33000,9 posts a day,Taxi
20,300280488568409,TOBACO HÀ NỘI,Public,1000,8 posts a month,Taxi
21,114784682453188,U.21 CÔNG AN HÀ NỘI,Public,1800,8 posts a month,Taxi
23,562966314524899,Toyota Camry Club Việt Nam™ ( Camry VN Official ),Public,5900,10+ posts a day,Taxi
24,390124175129048,Honda HRV Club Việt Nam™(Original),Public,2700,4 posts a day,Taxi
25,983817981799999,❤️ Hà Nội,Public,73000,10 posts a day,Taxi
26,2143572362522867,Dịch vụ Visa Trung Quốc,Public,59,8 posts a year,Taxi
27,522415487958697,Honda Accord Club Việt Nam™ official,Public,4800,3 posts a day,Taxi
28,1080377642310801,Tư vấn kênh nhận và chuyển tiền quốc tế,Public,632,,Taxi
29,226001395192507,"VIETKTV - VIETK - BTE MUA BÁN TRAO ĐỔI HỖ TRỢ, SỬA CHỮA THAY THẾ LINH KIỆN",Public,3000,7 posts a day,Taxi
30,369769260179353,Hội chợ VIETBUILD,Public,7200,6 posts a day,Taxi
31,937291506442065,Xe Tải Tiện Chuyến Hà Nam - Đi Hà Nội,Public,340,2 posts a month,Taxi
32,480452616849409,Tour Ghép Hà Nội 😍 Hà Giang Rivew,Public,65,2 posts a month,Taxi
33,148844887176180,Taxi Sân Bay Hoàng Mai - Times City,Public,2,,Taxi
34,1915496071940688,XE ĐƯA ĐÓN  SÂN BAY  NỘi BÀI - HÀ NỘI GIÁ RẺ  S1,Public,8800,10+ posts a day,Taxi
35,157696092943543,Thông Tắc Cống Hút Bể Phốt Tại Hà Nội - GREENHOME ✅,Public,4600,2 posts a day,Taxi
36,1764132700504930,Nhà Trọ Láng - Chùa Láng - Trần Duy Hưng - Cầu Giấy,Private,74000,10+ posts a day,Taxi
37,219055421821318,Thanh Lý _ Dọn Nhà _ Vận Chuyển _ Giá Rẻ,Public,5300,2 posts a day,Taxi
38,754010115321468,CHUYÊN MUA-BÁN XE SANG TOÀN QUỐC UY-TÍN 🚘🚘🚘,Public,402,5 posts a week,Taxi
39,300276376673285,Product and User Experience (UX),Private,4200,,Taxi
40,860785974632082,Hội Taxi Sân Bay Nội Bài Hà Nội đi Các Tỉnh giá rẻ,Public,2200,3 posts a week,Taxi
41,546467225420430,CHUYỂN NHÀ GIÁ RẺ-CHUYỂN TRỌ SINH VIÊN-XE TẢI-XE BA GÁC,Public,19000,7 posts a day,Taxi
42,492282395030672,HỘI LÁI XE - HOÀNG MAI-THANH TRÌ(HÀ NỘI),Public,1600,5 posts a week,Taxi
43,2114349992177538,High Mileage Cars (Bim Già Mẹc Cổ),Public,50000,10+ posts a day,Taxi
44,133013235507287,Tuyển Dụng Tài Xế tại Tp HCM,Public,78000,7 posts a day,Taxi
45,2633399816703517,"Việc Làm Lái Xe, Phụ Xe, Giao Hàng, Vận Chuyển, Vận Tải Toàn Quốc",Public,194,2 posts a week,Taxi
46,10002774973069701,XE SÂN BAY NỘI BÀI HÀ NỘI GIÁ RẺ ✅,Public,10000,10+ posts a day,Taxi
47,2690771761195733,XE GHÉP THANH HÓA - HÀ NỘI 2 CHIỀU,Public,10000,10+ posts a day,Taxi
48,1713182155649539,CHỢ CẦU DIỄN,Public,71000,10+ posts a day,Taxi
49,134509698491192,Hội Toyota Fortuner Việt Nam™ (FotunerClubVN),Public,178000,10+ posts a day,Taxi
50,968308690034833,Hội Những Người Sử Dụng Xe Sang,Public,5300,2 posts a week,Taxi
51,136635912708609,HỘI BỐC VÁC TẠI HÀ NỘI 24/24,Private,1300,2 posts a day,Taxi
52,1431048667019780,TÌM HIỂU DỰ ÁN VẬN TẢI THÔNG MINH UST ( TEAM MINH NGHĨA )  - VN🇻🇳,Private,1500,,Taxi
53,460773361606743,Hội xe taxi HÀ NỘI đi các tỉnh miền bắc giá rẻ,Public,9200,10 posts a day,Taxi
55,216029425820551,"Căn Hộ, Phòng Cho Thuê Khu Phùng Khoang, Làng Việt Kiều",Public,33000,8 posts a day,Taxi
56,1300798520048730,CHỢ PHÙNG KHOANG HÀ NỘI,Public,24000,10+ posts a day,Taxi
57,281981822255099,CỰU SVCG PK-BC,Private,115,,Taxi
58,1584562701554619,HỘI ĐỒNG NGŨ -3 -97 E174 F316 PHÚ THỌ,Private,86,,Taxi
59,128249254413712,Hội Taxi Thế Kỷ Mới,Public,232,,Taxi
61,2560982040811276,"HỘI MAZDA2, MAZDA3, MAZDA6, CX5, CX8",Public,472,5 posts a day,Taxi
62,884221598901231,Chợ Khương Trung,Public,630,10 posts a day,Taxi
63,181306816021855,Dịch Vụ Chuyển Nhà Trọn Gói Giá Rẻ Dành Cho Sinh Viên,Public,13,4 posts a month,Taxi
64,1266675717497027,Tobaco 24/7 Hoả Tốc Hà Nội,Public,996,10+ posts a day,Taxi
66,1260418914093023,ANH EM TAXI VIỆT NAM,Public,28000,9 posts a day,Taxi
67,814497169646126,Taxi Đưa Đón Sân Bay Nội Bài Hà Nội Giá Rẻ - Uy Tín - Đúng Hẹn,Public,196,5 posts a month,Taxi
68,325138179026089,Xe Nội Bài - Taxi Nội Bài Giá Rẻ 0354828668,Public,2500,10 posts a day,Taxi
69,830336778315843,Taxi Bình Định - 0563.999.669,Public,1600,2 posts a day,Taxi
70,1599795063631732,CLB Vinasun Taxi ✅,Private,11000,7 posts a day,Taxi
71,874104859969215,Taxi Nội Bài Hà Nội giá rẻ,Public,3700,5 posts a day,Taxi
72,2802814509837012,Taxi VinaSun,Public,4600,4 posts a day,Taxi
73,3120503858162414,HỘI TAXI NỘI BÀI ĐI TỈNH GIÁ RẺ,Public,1300,8 posts a day,Taxi
74,1970272233245832,TAXI BỈM SƠN THANH HÓA hotline.0986580066 - 0969390607 - 0382226189,Public,613,8 posts a month,Taxi
75,258591407658471,Hội Anh Em Lái Xe Taxi Group,Private,2100,,Taxi
76,638207069678790,Hội anh em lái xe Taxi Group,Public,814,,Taxi
77,323477548005948,TAXI GROUP (Tận tâm-Chuyên nghiệp),Private,169,,Taxi
78,1893366200942357,Hội Anh Em Lái Xe Taxi Group,Public,589,10 posts a year,Taxi
79,263544947975235,GROUP TAXI GIA ĐÌNH TX KINH MÔN,Public,141,5 posts a month,Taxi
80,251086625771664,TAXI ML Group Sài Gòn,Private,4500,4 posts a week,Taxi
