,Name,Dia Chi,Phone,Website,Province/City
0,Công Ty TNHH Thuê Xe Du Lịch Nam Định - Mai Khanh,"Số Nhà 149A, Đường Lưu Hữu Phước, P. Hạ Long, TP. Nam Định, T. Nam Định",0916 04 6679,https://thuexedulichnamdinh.com,Nam Định
1,Vận Tải Du Lịch Phi Loan - Công Ty TNHH Thương Mại Du Lịch Phi Loan,"145/4 Đường Nguyễn Đình Chính, P. 11, Q. Phú Nhuận, TP. Hồ Chí Minh (TPHCM)",(028) 38422268 - 0903 163 615,http://philoan.com.vn,Hồ Chí Minh
2,Công Ty TNHH Thương Mại Dịch Vụ Du Lịch Việt Tín,"204E Sư Vạn Hạnh, Phường 9, Quận 5, TP. Hồ Chí Minh (TPHCM)",(028) 38333108 - 0908 223 757,http://viettintravel.com.vn,Hồ Chí Minh
3,Công Ty Cổ Phần TMDV Quê Hương,"475a Dương Thị Mười, P. Tân Chánh Hiệp, Q. 12, Tp Hồ Chí Minh (TPHCM)",0967 471 767,http://thuexetulaihcm.com,Hồ Chí Minh
4,Công Ty TNHH Thương Mại Dịch Vụ Sukami VN,"Số 4, Đường Số 22, CV Phần Mềm Quang Trung, P. Tân Chánh Hiệp, Quận 12, Tp. Hồ Chí Minh (TPHCM)",0903.984.604,http://chothuexedulichkimdung.com,Hồ Chí Minh
5,Công Ty TNHH Một Thành Viên Du Lịch Phương Vy Tour,"202 Đỗ Văn Thi, Khu Phố Nhất Hòa, P. Hiệp Hòa, TP. Biên Hòa, Tỉnh Đồng Nai",0909 922 398 - 0918 692 398,https://phuongvytour.com,Đồng Nai
6,Công Ty TNHH MTV Du Lịch In,"106, Đường Số 1, Khu Dân Cư City Land, Phường 7, Quận Gò Vấp, TP Hồ Chí Minh (TPHCM)",(028) 39899989 - 0934 797 779,http://www.intour.com.vn,Hồ Chí Minh
7,Công Ty TNHH Du Lịch Quốc Tế Đại Việt - GRANDVIET TOUR,"Số 08, Nguyễn Chí Thanh, Quận Ba Đình, Tp. Hà Nội (TPHN)",(024) 3747 4138 - (024) 3724  5364,http://www.dulichdaiviet.com,Hà Nội
8,Công Ty TNHH Du Lịch Hoàng Nam,"5C Lương Ngọc Quyến, P. Hàng Buồm, Q. Hoàn Kiếm, TP Hà Nội (TPHN)","(024) 38730914, 0962.203.566",http://dulichhoangnam.vn,Hà Nội
9,Công Ty TNHH Dịch Vụ Phương Nghi,"Số 115/117/119 Đường Tây Sơn, P. Ghềnh Ráng, Tp. Quy Nhơn, T. Bình Định","(0256) 3891122, 0919 501 839",http://congtyphuongnghi.vn,Bình Định
10,Công Ty TNHH Lữ Hành Quốc Tế Golden Life,"Số 43A đường Lê Thánh Tôn, Phường Lê Lợi, Tp Quy Nhơn, Tỉnh Bình Định",0256 3813959 Hotline: 1900 599946,http://goldenlife.vn,Bình Định
11,Công Ty TNHH Du Lịch Vận Tải Và Thương Mại Ecovico,"326 Cù Chính Lan, Phường An Khê, Quận Thanh Khê, TP. Đà Nẵng",(0236) 3712771 - 0905 204 445 - 0935 264 445,http://www.ecovico.com,Đà Nẵng
12,VietDa Travel - Công Ty Cổ Phần Việt Đà,"269 Núi Thành, Phường Hoà Cường Bắc, Quận Hải Châu, Tp Đà Nẵng","(0236) 3647979, 3647981",http://vietdatravel.com,Đà Nẵng
13,Công Ty TNHH MTV Vận Tải Và Du Lịch Nguyễn Anh Huy,"Số 76, Tổ 4, Khu 14, X. Long Đức, H. Long Thành, T. Đồng Nai","0932 600 060, 0914 846 932",http://vantainguyenanhhuy.com,Đồng Nai
14,Công Ty TNHH Vận Tải Và Du Lịch Nguyễn Anh Tuấn,"C15, tổ 2, khu Phước Hải, Thị Trấn Long Thành, Huyện Long Thành, Tỉnh Đồng Nai","0902 077 707, 0931 770 807",http://thuexechatluong.com.vn,Đồng Nai
15,Công Ty TNHH Việt Sài Gòn Tour,"82/27A Lý Chính Thắng, P.Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh (TPHCM)","0283526708, 0902227810, 0909141801",http://vietsaigontour.com,Hồ Chí Minh
16,Công Ty TNHH Vận Tải Du Lịch Và Dịch Vụ Thương Mại Long Hiền,"Lô D2-32, KDC Số 5 Nguyễn Tri Phương (60 Nguyễn Đăng Đạo), P. Hòa Cường Bắc, Q. Hải Châu, TP. Đà Nẵng","0903 578 012, 0975 288 111",,Đà Nẵng
17,Nhà Hàng Hương Biển,"Cổng chính chợ thương mại Cầu Bươu, đường Phan Trọng Tuệ, Thanh Trì, Hà Nội",0947 000 268,,Hà Nội
18,Công Ty TNHH Thương Mại Và Du Lịch Khát Vọng Việt,"Số 1 Lô 4E Trung Yên, Yên Hoà, Q. Cầu Giấy, Tp Hà Nội (TPHN)",(024) 66635511,http://dulichkhatvongviet.com,Hà Nội
19,Tổng Công Ty Vận Chuyển Hàng Hóa Hàng Không Việt Nam,"Tầng 46-50 Tòa Nhà Hành Chính, Bitexco Số 2 Hải Triều, Phường Bến Nghé, Quận , Tp. Hồ Chí Minh (TPHCM)","0932 109 595, 0906 990 125",http://phuochoanganh.com,Hồ Chí Minh
20,Công Ty TNHH MTV Tuấn Việt Nhất,"Số 24N/6, Khu Phố Bình Đáng 2, Phường Bình Hòa, TX Thuận An, Tỉnh Bình Dương","(0274) 3763269, 0988 190 678",http://chuyenchothuexe.com,Bình Dương
