,Name,Nganh,Dia Chi,Phone,Province
0,Công Ty TNHH Vận Tải Và Du Lịch Nguyễn Anh Tuấn,Cho Thuê Xe Du Lịch ,"  31/5 Tổ 4, Khu 14, X. Long Đức, H. Long Thành, Đồng Nai, Việt Nam",0902 077 707 -  0931 770 807,Đồng Nai
1,Công Ty TNHH Vận Tải Du Lịch Và Dịch Vụ Thương Mại Long Hiền,Cho Thuê Xe Du Lịch ,"  Lô D2-32, KDC Số 5 Nguyễn Tri Phương (60 Nguyễn Đăng Đạo), P. Hòa Cường Bắc, Q. Hải Châu, Tp. Đà Nẵng, Việt Nam",0975 288 111 -  0913 686 059,Đà Nẵng
2,Công Ty TNHH Vận Tải Và Du Lịch Nguyễn Anh Tuấn,Cho Thuê Xe Du Lịch ,"  1216/80 Đường 30/04, Phường 6, Thành Phố Vũng Tàu, Bà Rịa-Vũng Tàu, Việt Nam",0902 077 707 -  0931 770 807,Bà Rịa-Vũng Tàu
3,Công Ty TNHH Thương Mại Dịch Vụ Du Lịch Thảo Trang,Cho Thuê Xe Du Lịch ,"  Số 124/10/8 Đường Bùi Trọng Nghĩa, Khu Phố 2, Phường Trảng Dài, Thành Phố Biên Hòa, Đồng Nai, Việt Nam",Hotline: 0933 001 101,Đồng Nai
4,Công Ty TNHH Thương Mại Và Dịch Vụ Du Lịch Thành Thành,Cho Thuê Xe Du Lịch ,"  31A Lê Quý Đôn, Phường Tân Lập, Thành phố Nha Trang, Khánh Hòa, Việt Nam",(0258) 3527007 -  0903503304,Khánh Hòa
5,Công Ty TNHH Vận Tải Và Du Lịch Nguyễn Anh Tuấn,Cho Thuê Xe Du Lịch ,"  Tổ 18 Khu Phố Đông Chiêu, Phường Tân Đông Hiệp, TP. Dĩ An, Bình Dương, Việt Nam",0902 077 707 -  0931 770 807,Bình Dương
6,Công Ty TNHH Vận Tải Và Du Lịch Nguyễn Anh Tuấn,Cho Thuê Xe Du Lịch ,"  68 Mai Chí Thọ, Phường An Phú, Quận 2, Tp. Hồ Chí Minh, Việt Nam",0902 077 707 -  0931 770 807,Hồ Chí Minh
7,Đội Xe Thanh Tuyền,Cho Thuê Xe Du Lịch ,"  37/423E, Lê Đức Thọ, Phường 17, Gò Vấp, Tp. Hồ Chí Minh, Việt Nam",0971 660 604,Hồ Chí Minh
8,Công Ty TNHH Thuê Xe Du Lịch TPHCM,Cho Thuê Xe Du Lịch ,"  1603 Phạm Thế Hiển, P. 6, Q. 8, Tp. Hồ Chí Minh, Việt Nam",0707 321 321,Hồ Chí Minh
9,Dịch Vụ Cho Thuê Xe Tự Lái Kim,Cho Thuê Xe Du Lịch ,"  C7C, Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh Tp. Hồ Chí Minh, Việt Nam",0914 066 895 -  0943 961 311,Hồ Chí Minh
10,Công Ty TNHH MTV Thương Mại Vận Tải Quỳnh Anh,Cho Thuê Xe Du Lịch ,"  112A Cao Thắng, P. 17, Q. Phú Nhuận, Tp. Hồ Chí Minh, Việt Nam",Hotline: 0903 992 967 -  0966 992 901,Hồ Chí Minh
11,Công Ty TNHH MTV Dịch Vụ Du Lịch Koi Tourist,Cho Thuê Xe Du Lịch ,"  42 Nguyễn Lai, Phường Khuê Trung, Quận Cẩm Lệ, Tp. Đà Nẵng, Việt Nam",0918 067 476,Đà Nẵng
12,Công Ty Cổ Phần Hoàng Gia BN,Cho Thuê Xe Du Lịch ,"  Số 215 Nguyễn Phong Sắc, Phượng Mao, Quế Võ, Bắc Ninh, Việt Nam",Hotline: 0968 977 123 -  0922 56 56 58,Bắc Ninh
13,Công Ty TNHH Thương Mại Dịch Vụ Du Lịch Việt Tín,Cho Thuê Xe Du Lịch ,"  204E Sư Vạn Hạnh, P. 9, Q. 5, Tp. Hồ Chí Minh, Việt Nam",(028) 38333108,Hồ Chí Minh
14,Công Ty TNHH MTV Thương Mại Dịch Vụ Vận Tải Phú Thành Phát,Cho Thuê Xe Du Lịch ,"  Số 68 Hẻm 9 Tổ 38 Đường Trần Nhân Tông, Khu Cầu Xéo,  TT. Long Thành, Đồng Nai, Việt Nam",0908.368.856 -  0908.128.856,Đồng Nai
