Name,Address,Phone,Province
Chi Nhánh Hà Đông - Công Ty Cổ Phần Ô Tô Trường Hải,"Thôn Yên Phúc, P. Biên Giang, Q. Hà Đông, Hà Nội",033716736                               ,Hà Nội
Công Ty Cổ Phần Thương Mại Dịch Vụ An Sương,"2450 QL1A, P. Trung Mỹ Tây, Q. 12, Tp. Hồ Chí Minh (TPHCM)",0908541699                              ,Tp. Hồ Chí Minh (TPHCM)
Công Ty TNHH Thương Mại Ô Tô An Phước,"100 Võ Nguyên Giáp, KP. Tân Cang, P. Phước Tân, TP. Biên Hòa, Đồng Nai",0909771388                              ,Đồng Nai
Công Ty Cổ Phần Xuất Nhập Khẩu Phân Phối Ô Tô Sài Gòn,"23/80/4A Nguyễn Hữu Tiến, P. Tây Thạnh, Q. Tân Phú, Tp. Hồ Chí Minh (TPHCM)",(028) 22645888                                ,Tp. Hồ Chí Minh (TPHCM)
Hyundai Thủ Đô - Công Ty Cổ Phần Đầu Tư Liên Doanh Quốc Tế Ami,"Tầng 4 Tòa Nhà MIE Bộ Công Thương, 7A Mạc Thị Bưởi, P. Vĩnh Tuy, Q. Hai Bà Trưng, Hà Nội",(024) 38332626                                ,Hà Nội
Công Ty TNHH Ô Tô Đông Đô Sài Gòn,"Tầng 3, Thanh Thảo Building, 35 Chế Lan Viên, P. Tây Thạnh, Q. Tân Phú, Tp. Hồ Chí Minh (TPHCM)",(028) 22474888                                ,Tp. Hồ Chí Minh (TPHCM)
Công Ty TNHH Ô Tô Và Thiết Bị Chuyên Dùng Sao Bắc,"Số 325, QL 13, P. Hiệp Bình Phước, Q. Thủ Đức, Tp. Hồ Chí Minh (TPHCM)",(028) 37261417                                ,Tp. Hồ Chí Minh (TPHCM)
CN Tổng Công Ty Cơ Khí GTVT Sài Gòn - TNHH MTV - Xí Nghiệp Cơ Khí Ô Tô An Lạc,"36 Kinh Dương Vương, P. An Lạc A, Q. Bình Tân, Tp. Hồ Chí Minh (TPHCM)",0938766327                              ,Tp. Hồ Chí Minh (TPHCM)
Xe Khách Samco,"295 Kinh Dương Vương, P. An Lạc, Q. Bình Tân, Tp. Hồ Chí Minh (TPHCM)",0938 766 327                            ,Tp. Hồ Chí Minh (TPHCM)
Công Ty Cổ Phần Ô Tô Hyundai Giải Phóng,"Số 510, Đường Ngọc Hồi, P. Hoàng Liệt, Q. Hoàng Mai, Hà Nội",(024) 36813968                                ,Hà Nội
Thuê Xe Bảo Minh,"Số 55, Ngách 123/31 Đường Thuỵ Phương, Q. Bắc Từ Liêm, Hà Nội",0978143934                              ,Hà Nội
Ô Tô Thuận Phát - Công Ty TNHH TM DV XD Ô Tô Thuận Phát,"785, QL 13, P. Hiệp bình Phước, Q.Thủ Đức, Bình Dương",0906787175                              ,Bình Dương
Công Ty TNHH Thương Mại Dịch vụ Vận Tải Hoàng Bảo Khang,"1175 QL. 1A, P. Thới An, Q. 12, Tp. Hồ Chí Minh (TPHCM)",(028) 66693882                                ,Tp. Hồ Chí Minh (TPHCM)
Công Ty TNHH Ô Tô Ngọc Phát,"26/6 Khu Phố 1, Bửu Long, Tp. Biên Hòa, Đồng Nai",0908972299                              ,Đồng Nai
Công Ty Cổ Phần Tân Thành Đô City Ford,"216-218 QL 13, P. Hiệp Bình Chánh, Q. Thủ Đức, Tp. Hồ Chí Minh (TPHCM)","(028) 66803257, 37262626,                     ",Tp. Hồ Chí Minh (TPHCM)
Công Ty TNHH X.E Việt Nam,"Số 10 ngõ 15 Ngọc Hồi, Hoàng Mai, Hà Nội",(024) 36815722                                ,Hà Nội
Đại Lý Xe Khách Tracomeco,"35 Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp. Hồ Chí Minh (TPHCM)",(028) 22474888                                ,Tp. Hồ Chí Minh (TPHCM)
Hyundai Đông Đô - Công Ty TNHH Ô Tô Thành Công Đông Đô,"11 Đ. Hoàng Cầu Mới, P. Trung Liệt, Q. Đống Đa, Hà Nội",0963588962                              ,Hà Nội
Công Ty Cổ Phần Sài Gòn Ngôi Sao,"510 Quốc Lộ 13, KP. 6, P. Hiệp Bình Phước, TP. Thủ Đức, Tp. Hồ Chí Minh (TPHCM)","(028) 37263023, 0983036221                    ",Tp. Hồ Chí Minh (TPHCM)
Công Ty Trách Nhiệm Hữu Hạn Ô Tô Hyundai Miền Nam,"Số 88,  QL 1A, P. An Phú Đông, Q. 12, Tp. Hồ Chí Minh (TPHCM)","(028) 37171798, 0797949686                    ",Tp. Hồ Chí Minh (TPHCM)
Công Ty CP XNK Ô Tô Nam Hàn,"Đường Ngọc Hồi, P. Hoàng Liệt, Q. Hoàng Mai, Hà Nội",0961727997                              ,Hà Nội
Công Ty TNHH Ô Tô Việt Nhân,"368A QL 51, Xã An Hòa, TP. Biên Hòa, Đồng Nai",Hotline : 0906 864 353                  ,Đồng Nai
